product_name,size_raw,price_raw,color,rating_score,count_rate,sold_count,first_comment,short_description,product_url,image_url,price_list,product_type
Cần Câu Tay Guide Kỳ Lân Lửa Săn Hàng,3m6 | 4m5 | 5m4 | 6m3 | 7m2 | 8m1,1720000 | 2040000 | 2320000 | 2680000 | 3040000 | 3520000,,5.0,3.0,70,Đoàn Văn Vinh Người đánh giá đã mua hàng,"Cần câu tay Guide Kỳ Lân Lửa Săn Hàng sử dụng Công nghệ Đức bằng Vật liệu Carbon Toray 46T-60T cao cấp Nhật Bản giúp cần có độ nảy cao giữ cá cực tốt.
Phân bổ lực: 19i
Chi tiết giá bán:
Guide Kỳ Lân Lửa Săn Hàng 3m6 : 1.720.000đ
Guide Kỳ Lân Lửa Săn Hàng 4m5 : 2.040.000đ
Guide Kỳ Lân Lửa Săn Hàng 5m4 : 2.320.000đ
Guide Kỳ Lân Lửa Săn Hàng 6m3 : 2.680.000đ
Guide Kỳ Lân Lửa Săn Hàng 7m2 : 3.040.000đ
Guide Kỳ Lân Lửa Săn Hàng 8m1 : 3.520.000đ",https://vuadocau.com/can-cau-tay-guide-ky-lan-lua-san-hang/,https://vuadocau.com/wp-content/uploads/2025/11/vuong-quyen-th2.jpg,"[1720000, 2040000, 2320000, 2680000, 3040000, 3520000]",can_cau_tay
Ná Thun Cao Su Thần Vương,nan,275000,,0.0,,67,,"Mẫu bắn cao su cao cấp bán chạy nhất hiện nay, thích hợp săn bắt chim, chuột cực chuẩn xác
Phí vận chuyển 25.000 toàn quốc
Model: Thần Vương 
Chất liệu: Thép không gỉ
Quà tặng: 2 Bộ dây, 1 túi bi 8li
Xem thêm nhiều mẫu khác Tại Đây",https://vuadocau.com/na-thun-cao-su-than-vuong/,https://vuadocau.com/wp-content/uploads/2025/07/na-go-mun-beo-1.jpg,[275000],khac
Mồi Câu Lurefans E75,01ltd | 06 | 08 | 100 | 115ltd | 122 | 124ltd | 126 | 129,125000 | 210000,129 | 126 | 124ltd | 122 | 115ltd | 100 | 08 | 06 | 01ltd,0.0,,280,,"Mồi Câu Lurefans E75 đặc biệt hiệu quả với cá măng, cá chẽm, cá nhồng. Phù hợp cho địa hình sông hồ lớn, đầm, cửa biển hoặc ghềnh.
Thông số:
Dài: 75mm
Trọng lượng: 18.5g
Lưỡi: BKK
  Lưu ý: Màu đắt hơn so với các màu thường là màu Limited.",https://vuadocau.com/moi-cau-lurefans-e75/,https://vuadocau.com/wp-content/uploads/2025/12/tuong-chua-ngot-sa-pham.jpg,"[125000, 210000]",moi_cau
"Mồi Câu Chẽm, Tráp, Chày Puma Minnow",a2 | a3 | a4 | a5 | mau-a6,75000,a5 | a4 | a3 | a2 | mau-a6,0.0,,233,,"Mồi Câu Chẽm, Tráp, Chày và các loại cá khác ở khu vực nước mặn lợ Puma Minnow siêu nhạy.
Thông số:
– Chiều dài: 50mm
– Nặng: 6.5g
– Action: Slow Sinking
– Lưỡi: #10 treble hook
– Thương hiệu: Elitelure",https://vuadocau.com/moi-cau-chem-trap-chay-puma-minnow/,https://vuadocau.com/wp-content/uploads/2025/12/tuong-chua-ngot-sa-pham.jpg,[75000],moi_cau
Cần Câu Lure Daiwa Salamandura,632mhb-1m9 | 702mhs-2m1 | 712mfs-2m16 | 722mhfb-2m18-2 | 742mfs-2m24 | 6102lfb-2m08 | 6102mlfs-2m08 | 6102mhrb-2m08-2 | 6102mfb-2m08,3200000 | 3300000 | 3350000 | 3400000 | 3500000 | 3600000,,4.75,4.0,157,Nguyễn Duy Kiên Người đánh giá đã mua hàng,"Siêu phẩm cần lure giá tầm trung Salamandura đến từ thương hiệu Daiwa, vẻ ngoài bắt mắt với thiết kế màu đỏ và nổi bật với logo con thành sùng. Daiwa Salamandura được Daiwa tích hợp nhiều công nghệ vật liệu mới, thiết kế sang trọng, blank cần cực nảy giúp nèm mồi xa và đem lại cảm giác tuyệt vời khi dòng cá.
Thông số cần máy đứng:
6102MLFS: Cần Đứng | Dài: 2m08 | Thu gọn: 108cm | Trọng lượng: 100g | Tải mồi: 1.8 – 14g | Tải dây: 5 – 10lb | Action: Fast | Giá bán: 3.200.000đ
702MHS: Cần Đứng | Dài: 2m13 | Thu gọn: 110cm | Trọng lượng: 115g | Tải mồi: 7 – 28g | Tải dây: 10 – 20lb | Action: Regular | Giá bán: 3.300.000đ
712MFS: Cần Đứng | Dài: 2m16 | Thu gọn: 112cm | Trọng lượng: 115g | Tải mồi: 2.5 – 18g | Tải dây: 7 – 16lb | Action: Fast | Giá bán: 3.400.000đ
742MFS: Cần Đứng | Dài: 2m24 | Thu gọn: 116cm | Trọng lượng: 120g | Tải mồi: 2.5 – 18g | Tải dây: 7 – 16lb | Action: Fast | Giá bán: 3.500.000đ
Thông số cần máy ngang:
6102LFB: Cần Ngang | Dài: 2m08 | Thu gọn: 104cm | Trọng lượng: 112g | Tải mồi: 1.8 – 12g | Tải dây: 5 – 12lb | Action: Fast | Giá bán: 3.300.000đ | Đường kính ngọn: 1.3mm | Đường kính gốc: 10.4mm.
632MHB: Cần Ngang | Dài: 1m91 | Thu gọn: 99cm| Trọng lượng: 120g | Tải mồi: 7 – 28g | Tải dây: 10 – 20lb | Action: Regular | Giá bán: 3.300.000đ
6102MFB: Cần Ngang | Dài: 2m08 | Thu gọn: 108cm| Trọng lượng: 120g | Tải mồi: 5 – 24g | Tải dây: 7 – 16lb | Action: Fast | Giá bán: 3.350.000đ
6102MHRB: Cần Ngang | Dài: 2m08 | Thu gọn: 108cm| Trọng lượng: 125g | Tải mồi: 7 – 30g | Tải dây: 8 – 20lb | Action: Regular | Giá bán: 3.400.000đ
722MHFB: Cần Ngang | Dài: 2m18 | Thu gọn: 114cm| Trọng lượng: 135g | Tải mồi: 7 – 30g | Tải dây: 8 – 20lb | Action: Fast | Giá bán: 3.600.000đ",https://vuadocau.com/can-cau-lure-daiwa-21-salamandura/,https://vuadocau.com/wp-content/uploads/2025/08/can-cau-daiwa-lurenist.jpg,"[3200000, 3300000, 3350000, 3400000, 3500000, 3600000]",moi_cau
Cần Câu Tay Giá Rẻ Lũng Chu Thủ Can,3m6 | 4m5 | 5m4 | 6m3 | 7m2,180000 | 210000 | 240000 | 270000 | 300000,,0.0,,107,,"Mẫu cần câu tay carbon giá rẻ, thích hợp câu giải trí địa hình tự nhiên như sông, suối với nhiều loại cá kích thước vừa phải. Cần rút gọn và rất nhẹ, thích hợp di chuyển phù hợp mọi lứa tuổi.
Thông số: 
Dài 3m6 – Trọng lượng: 67g – Φ Gốc: 13.0mm – Φ Ngọn: 0.9mm – Rút gọn: 78cm – Số khúc: 7 – Giá bán: 180.000
Dài 4m5 – Trọng lượng: 88g – Φ Gốc: 14.3mm – Φ Ngọn: 0.9mm – Rút gọn: 78cm – Số khúc: 8 – Giá bán: 210.000
Dài 5m4 – Trọng lượng: 122g – Φ Gốc: 16.3mm – Φ Ngọn: 0.9mm – Rút gọn: 78cm – Số khúc: 9 – Giá bán: 240.000
Dài 6m3 – Trọng lượng: 207g – Φ Gốc: 20.0mm – Φ Ngọn: 0.9mm – Rút gọn: 78cm – Số khúc: 11 – Giá bán: 270.000
Dài 7m2 – Trọng lượng: 242g – Φ Gốc: 21.7mm – Φ Ngọn: 0.9mm – Rút gọn: 78cm – Số khúc: 12 – Giá bán: 300.000
Tất cả cần câu khi gửi đi sẽ được bọc bằng ống nhựa, phí ống nhựa + phí vận chuyển = 60000 vnđ",https://vuadocau.com/can-cau-tay-gia-re-lung-chu-thu-can/,https://vuadocau.com/wp-content/uploads/2023/11/can-leo-royal-mini-8.jpg,"[180000, 210000, 240000, 270000, 300000]",can_cau_tay
10 Mồi Mềm Seasky Fishing M22,a1 | a2 | a3 | a4 | a5 | mau-a6,65000,Màu A1 | Màu A2 | Màu A3 | Màu A4 | Màu A5 | Màu A6,0.0,,65,,"Mồi mềm Seasky Fishing M22 là một con mồi có action thuộc vào hàng xuất sắc nhất hiện nay với cấu tạo đuôi mềm mại và chuyển động cực kỳ bắt mắt.
Thông số:
Dài toàn bộ: 9,5cm
Dài phần thân: 5,4cm
Trọng lượng: 2,8g",https://vuadocau.com/10-moi-mem-seasky-fishing-m22/,https://vuadocau.com/wp-content/uploads/2021/07/Quang-My-Ly-7h-300x300.jpg,[65000],moi_cau
Combo Mồi Thìa Galaxy Spoon,nan,95000,,0.0,,66,,"Set 4 con mồi thìa Galaxy Spoon câu lure cá thểu, cá chày, cá rô phi và nhiều loại cá suối khác.
Thông số:
 Chiều dài: 3cm
Trọng lượng: 3gram",https://vuadocau.com/combo-moi-thia-galaxy-spoon/,https://vuadocau.com/wp-content/uploads/2022/09/Can-cau-Tam-Xanh-The-He-6-1.jpg,[95000],moi_cau
Phao Câu Nước Nông Có Đèn SG02,sg02-4-0g | sg02-3-0g | sg02-3-5g | sg02-2-5g | sg02-2-0g | sg02-5-0g,35000,,0.0,,561,,"Phao câu lửng ngắn phù hợp câu cá vùng nước nông, độ nhạy cao, có thể câu tôm, cá miệng nhẹ, câu cá cố định bằng cần dài dây ngắn.
Thông số:
– Size 2.0g Dài 9,5cm 
– Size 2.5g Dài 10.0cm
– Size 3.0 Dài 10.0cm
– Size 3.5 Dài 10.0cm
– Size 4.0g Dài 10.5cm
– Size 5.0 Dài 11.5cm",https://vuadocau.com/phao-cau-nuoc-nong-co-den-sg02/,https://vuadocau.com/wp-content/uploads/2024/12/phao-nong-sg02-3.jpg,[35000],phao
Hộp 10 sét phụ kiện làm trục câu đài chống nổ [Loại Víp],s-day-1-5-3-0 | m-day-2-5-4-0 | l-day-3-5-6-0,115000,,0.0,,448,,"Hộp 10 sét phụ kiện làm trục câu đài chống nổ. Sét đầy đủ để làm thành 10 bộ trục câu đài hoàn chỉnh, các sản phẩm trong sét phụ kiện này đều là hàng cao cấp siêu víp, quý khách hàng hoàn toàn yên tâm về chất lượng sản phẩm.
Bao gồm:
– 10 tép hạt chặn 7 +  2 chất liệu silicon loại cao cấp. Độ đàn hồi, độ đồng tâm cực chuẩn, không làm xước dây trục
– 10 viên chì lõi bên trong độ mịn cực cao và chống mài mòn sau nhiều lần giật cá
– 10 Khóa số 8 hợp kim thép siêu chịu tải
– 10 Chân cắm phao siêu hút ngay cả khi bạn cắm chân phao siêu nhỏ
– 10 Gim trục
Hướng dẫn chọn size:
– S dùng cho dây #1.5 – #3.0
– M dùng cho dây #2.5 – #4.0
– L dùng cho dây #3.5 – #6.0",https://vuadocau.com/hop-10-set-phu-kien-lam-truc-cau-dai-chong-no-loai-vip/,https://vuadocau.com/wp-content/uploads/2025/11/phao-cau-co-den-W-20.jpg,[115000],khac
